지점,지점명,일시,기온(°C),강수량(mm)
108,서울,2018-07-18 11:00,30.2,
108,서울,2018-07-18 12:00,31.2,
108,서울,2018-07-18 13:00,32.1,
108,서울,2018-07-18 14:00,32.7,
108,서울,2018-07-18 15:00,32.9,
108,서울,2018-07-18 16:00,33.1,
108,서울,2018-07-18 17:00,32.6,
108,서울,2018-07-18 18:00,32,
108,서울,2018-07-18 19:00,30.6,
108,서울,2018-07-18 20:00,28.8,
108,서울,2018-07-18 21:00,28,
108,서울,2018-07-18 22:00,27.2,
108,서울,2018-07-18 23:00,26.4,
108,서울,2018-07-19 00:00,25.9,
108,서울,2018-07-19 01:00,25.4,
108,서울,2018-07-19 02:00,24.8,
108,서울,2018-07-19 03:00,24.4,
108,서울,2018-07-19 04:00,24,
108,서울,2018-07-19 05:00,23.6,
108,서울,2018-07-19 06:00,23.3,
108,서울,2018-07-19 07:00,23.6,
108,서울,2018-07-19 08:00,25.5,
108,서울,2018-07-19 09:00,27.6,
108,서울,2018-07-19 10:00,29.4,
108,서울,2018-07-19 11:00,30.7,
108,서울,2018-07-19 12:00,31.7,
108,서울,2018-07-19 13:00,32.6,
108,서울,2018-07-19 14:00,33.1,
108,서울,2018-07-19 15:00,33.7,
108,서울,2018-07-19 16:00,33.7,
108,서울,2018-07-19 17:00,34,
108,서울,2018-07-19 18:00,33,
108,서울,2018-07-19 19:00,31.6,
108,서울,2018-07-19 20:00,29.8,
108,서울,2018-07-19 21:00,28.8,
108,서울,2018-07-19 22:00,28,
108,서울,2018-07-19 23:00,27.2,
108,서울,2018-07-20 00:00,26.7,
108,서울,2018-07-20 01:00,26.1,
108,서울,2018-07-20 02:00,25.7,
108,서울,2018-07-20 03:00,25.4,
108,서울,2018-07-20 04:00,25.1,
108,서울,2018-07-20 05:00,24.9,
108,서울,2018-07-20 06:00,24.6,
108,서울,2018-07-20 07:00,25.2,
108,서울,2018-07-20 08:00,26.6,
108,서울,2018-07-20 09:00,28.4,
108,서울,2018-07-20 10:00,29.8,
108,서울,2018-07-20 11:00,31.6,
108,서울,2018-07-20 12:00,32.6,
108,서울,2018-07-20 13:00,32.4,
108,서울,2018-07-20 14:00,33.4,
108,서울,2018-07-20 15:00,34.1,
108,서울,2018-07-20 16:00,34.3,
108,서울,2018-07-20 17:00,34.3,
108,서울,2018-07-20 18:00,33.9,
108,서울,2018-07-20 19:00,32.9,
108,서울,2018-07-20 20:00,30.9,
108,서울,2018-07-20 21:00,29.8,
108,서울,2018-07-20 22:00,28.8,
108,서울,2018-07-20 23:00,28.2,
108,서울,2018-07-21 00:00,27.5,
108,서울,2018-07-21 01:00,27,
108,서울,2018-07-21 02:00,26.4,
108,서울,2018-07-21 03:00,26.1,
108,서울,2018-07-21 04:00,25.6,
108,서울,2018-07-21 05:00,25,
108,서울,2018-07-21 06:00,24.9,
108,서울,2018-07-21 07:00,25.3,
108,서울,2018-07-21 08:00,27.4,
108,서울,2018-07-21 09:00,29.6,
108,서울,2018-07-21 10:00,31.4,
108,서울,2018-07-21 11:00,32.9,
108,서울,2018-07-21 12:00,34.2,
108,서울,2018-07-21 13:00,35.2,
108,서울,2018-07-21 14:00,36.3,
108,서울,2018-07-21 15:00,36.5,
108,서울,2018-07-21 16:00,36.8,
108,서울,2018-07-21 17:00,36.3,
108,서울,2018-07-21 18:00,35,
108,서울,2018-07-21 19:00,33.4,
108,서울,2018-07-21 20:00,31.5,
108,서울,2018-07-21 21:00,30.2,
108,서울,2018-07-21 22:00,29.4,
108,서울,2018-07-21 23:00,28.8,
108,서울,2018-07-22 00:00,28.1,
108,서울,2018-07-22 01:00,27.3,
108,서울,2018-07-22 02:00,26.8,
108,서울,2018-07-22 03:00,26.3,
108,서울,2018-07-22 04:00,25.9,
108,서울,2018-07-22 05:00,25.5,
108,서울,2018-07-22 06:00,25.3,
108,서울,2018-07-22 07:00,25.8,
108,서울,2018-07-22 08:00,27.9,
108,서울,2018-07-22 09:00,30.5,
108,서울,2018-07-22 10:00,32.2,
108,서울,2018-07-22 11:00,33.8,
108,서울,2018-07-22 12:00,35.5,
108,서울,2018-07-22 13:00,36.7,
108,서울,2018-07-22 14:00,37.4,
108,서울,2018-07-22 15:00,37.5,
108,서울,2018-07-22 16:00,37.8,
108,서울,2018-07-22 17:00,37.6,
108,서울,2018-07-22 18:00,36.3,
108,서울,2018-07-22 19:00,34.5,
108,서울,2018-07-22 20:00,33.3,
108,서울,2018-07-22 21:00,32.3,
108,서울,2018-07-22 22:00,31.7,
108,서울,2018-07-22 23:00,31.2,
108,서울,2018-07-23 00:00,30.6,
108,서울,2018-07-23 01:00,30,
108,서울,2018-07-23 02:00,29.7,
108,서울,2018-07-23 03:00,29.6,
108,서울,2018-07-23 04:00,29.3,
108,서울,2018-07-23 05:00,29.3,
108,서울,2018-07-23 06:00,29.2,
108,서울,2018-07-23 07:00,29.3,
108,서울,2018-07-23 08:00,30,
108,서울,2018-07-23 09:00,31,
108,서울,2018-07-23 10:00,31.8,
108,서울,2018-07-23 11:00,32.7,
108,서울,2018-07-23 12:00,34.1,
108,서울,2018-07-23 13:00,33.8,
108,서울,2018-07-23 14:00,34.3,
108,서울,2018-07-23 15:00,35.4,
108,서울,2018-07-23 16:00,34.8,
108,서울,2018-07-23 17:00,34.8,
108,서울,2018-07-23 18:00,33.9,
108,서울,2018-07-23 19:00,32.6,
108,서울,2018-07-23 20:00,31.5,
108,서울,2018-07-23 21:00,30.8,
108,서울,2018-07-23 22:00,30.3,
108,서울,2018-07-23 23:00,30,
108,서울,2018-07-24 00:00,29.6,
108,서울,2018-07-24 01:00,29.1,
108,서울,2018-07-24 02:00,28.6,
108,서울,2018-07-24 03:00,28.2,
108,서울,2018-07-24 04:00,27.8,
108,서울,2018-07-24 05:00,27.5,
108,서울,2018-07-24 06:00,27.2,
108,서울,2018-07-24 07:00,27.8,
108,서울,2018-07-24 08:00,29.9,
108,서울,2018-07-24 09:00,31.7,
108,서울,2018-07-24 10:00,32.4,
108,서울,2018-07-24 11:00,33.9,
108,서울,2018-07-24 12:00,34.5,
108,서울,2018-07-24 13:00,36.4,
108,서울,2018-07-24 14:00,35.8,
108,서울,2018-07-24 15:00,35.8,
108,서울,2018-07-24 16:00,34.9,
108,서울,2018-07-24 17:00,34.9,
108,서울,2018-07-24 18:00,34.9,
108,서울,2018-07-24 19:00,33.1,
108,서울,2018-07-24 20:00,31.1,
108,서울,2018-07-24 21:00,30.2,
108,서울,2018-07-24 22:00,29.8,
108,서울,2018-07-24 23:00,29.3,
108,서울,2018-07-25 00:00,28.9,
108,서울,2018-07-25 01:00,28.7,
108,서울,2018-07-25 02:00,28.8,
108,서울,2018-07-25 03:00,28.9,
108,서울,2018-07-25 04:00,28.5,
108,서울,2018-07-25 05:00,28.3,
108,서울,2018-07-25 06:00,28.1,
108,서울,2018-07-25 07:00,28.3,
108,서울,2018-07-25 08:00,28.7,
108,서울,2018-07-25 09:00,29.4,
108,서울,2018-07-25 10:00,30.7,
108,서울,2018-07-25 11:00,30.7,
108,서울,2018-07-25 12:00,31.1,
108,서울,2018-07-25 13:00,32.3,
108,서울,2018-07-25 14:00,33,
108,서울,2018-07-25 15:00,34,
108,서울,2018-07-25 16:00,34.1,
108,서울,2018-07-25 17:00,33.2,
108,서울,2018-07-25 18:00,32.2,
108,서울,2018-07-25 19:00,31.7,
108,서울,2018-07-25 20:00,30.9,
108,서울,2018-07-25 21:00,29.7,
108,서울,2018-07-25 22:00,28.8,
108,서울,2018-07-25 23:00,28,
108,서울,2018-07-26 00:00,27.7,
108,서울,2018-07-26 01:00,27.6,
108,서울,2018-07-26 02:00,27.6,
108,서울,2018-07-26 03:00,27.7,
108,서울,2018-07-26 04:00,27.7,
108,서울,2018-07-26 05:00,27.4,
108,서울,2018-07-26 06:00,27.4,
108,서울,2018-07-26 07:00,27.7,
108,서울,2018-07-26 08:00,28.3,
108,서울,2018-07-26 09:00,29.1,
108,서울,2018-07-26 10:00,29.5,
108,서울,2018-07-26 11:00,30.2,
108,서울,2018-07-26 12:00,32,
108,서울,2018-07-26 13:00,32.4,
108,서울,2018-07-26 14:00,33,
108,서울,2018-07-26 15:00,33.1,
108,서울,2018-07-26 16:00,33.5,
108,서울,2018-07-26 17:00,33.1,
108,서울,2018-07-26 18:00,33.2,
108,서울,2018-07-26 19:00,32.3,
108,서울,2018-07-26 20:00,31,
108,서울,2018-07-26 21:00,30,
108,서울,2018-07-26 22:00,29.4,
108,서울,2018-07-26 23:00,29,
108,서울,2018-07-27 00:00,28.6,
108,서울,2018-07-27 01:00,28.3,
108,서울,2018-07-27 02:00,27.8,
108,서울,2018-07-27 03:00,27.6,
108,서울,2018-07-27 04:00,27.3,
108,서울,2018-07-27 05:00,27.2,
108,서울,2018-07-27 06:00,27.2,
108,서울,2018-07-27 07:00,27.6,
108,서울,2018-07-27 08:00,28.5,
108,서울,2018-07-27 09:00,29.9,
108,서울,2018-07-27 10:00,31.2,
108,서울,2018-07-27 11:00,32.7,
108,서울,2018-07-27 12:00,33.7,
108,서울,2018-07-27 13:00,35.3,
108,서울,2018-07-27 14:00,34.1,
108,서울,2018-07-27 15:00,35.3,
108,서울,2018-07-27 16:00,35,
108,서울,2018-07-27 17:00,34.7,
108,서울,2018-07-27 18:00,33.7,
108,서울,2018-07-27 19:00,32,
108,서울,2018-07-27 20:00,30.7,
108,서울,2018-07-27 21:00,30.3,
108,서울,2018-07-27 22:00,29.9,
108,서울,2018-07-27 23:00,29.7,
108,서울,2018-07-28 00:00,29.4,
108,서울,2018-07-28 01:00,29.1,
108,서울,2018-07-28 02:00,28.8,
108,서울,2018-07-28 03:00,28.5,
108,서울,2018-07-28 04:00,28.3,
108,서울,2018-07-28 05:00,28.1,
108,서울,2018-07-28 06:00,28,
108,서울,2018-07-28 07:00,28.4,
108,서울,2018-07-28 08:00,29.6,
108,서울,2018-07-28 09:00,30.6,
108,서울,2018-07-28 10:00,32,
108,서울,2018-07-28 11:00,32.8,
